"PID","banditTrial","choice","cue","feedback","condition","block"
896,5,1,1,0,"NonInfo","1"
896,6,1,2,84,"NonInfo","1"
896,7,1,1,0,"NonInfo","1"
896,8,0,1,124,"NonInfo","1"
896,9,0,1,112,"NonInfo","1"
896,10,0,1,129,"NonInfo","1"
896,11,0,2,0,"NonInfo","1"
896,12,0,1,118,"NonInfo","1"
896,13,0,2,0,"NonInfo","1"
896,14,0,1,115,"NonInfo","1"
896,15,0,2,0,"NonInfo","1"
896,16,0,2,0,"NonInfo","2"
896,17,0,2,0,"NonInfo","2"
896,18,1,2,85,"NonInfo","2"
896,19,1,2,70,"NonInfo","2"
896,20,0,1,123,"NonInfo","2"
896,21,0,1,124,"NonInfo","2"
896,22,0,1,117,"NonInfo","2"
896,23,0,1,125,"NonInfo","2"
896,24,0,1,111,"NonInfo","2"
896,25,0,2,0,"NonInfo","2"
896,26,0,2,0,"NonInfo","2"
896,27,0,1,129,"NonInfo","2"
896,28,0,2,0,"NonInfo","2"
896,29,0,2,0,"NonInfo","2"
896,30,1,2,86,"NonInfo","2"
896,31,1,2,84,"NonInfo","3"
896,32,0,2,0,"NonInfo","3"
896,33,1,2,89,"NonInfo","3"
896,34,1,2,77,"NonInfo","3"
896,35,1,2,82,"NonInfo","3"
896,36,1,2,86,"NonInfo","3"
896,37,0,1,123,"NonInfo","3"
896,38,0,2,0,"NonInfo","3"
896,39,0,1,121,"NonInfo","3"
896,40,0,2,0,"NonInfo","3"
896,41,0,2,0,"NonInfo","3"
896,42,0,2,0,"NonInfo","3"
896,43,1,2,78,"NonInfo","3"
896,44,1,2,71,"NonInfo","3"
896,45,1,1,0,"NonInfo","3"
896,46,1,2,89,"NonInfo","4"
896,47,1,2,80,"NonInfo","4"
896,48,0,1,111,"NonInfo","4"
896,49,0,2,0,"NonInfo","4"
896,50,0,2,0,"NonInfo","4"
896,51,0,2,0,"NonInfo","4"
896,52,0,1,124,"NonInfo","4"
896,53,0,2,0,"NonInfo","4"
896,54,0,2,0,"NonInfo","4"
896,55,1,1,0,"NonInfo","4"
896,56,0,1,117,"NonInfo","4"
896,57,0,1,111,"NonInfo","4"
896,58,0,2,0,"NonInfo","4"
896,59,0,2,0,"NonInfo","4"
896,60,0,2,0,"NonInfo","4"
2045,1,1,2,81,"NonInfo","1"
2045,2,1,2,72,"NonInfo","1"
2045,3,0,2,0,"NonInfo","1"
2045,4,1,2,82,"NonInfo","1"
2045,5,1,1,0,"NonInfo","1"
2045,6,0,2,0,"NonInfo","1"
2045,7,1,1,0,"NonInfo","1"
2045,8,0,2,0,"NonInfo","1"
2045,9,0,1,114,"NonInfo","1"
2045,10,0,1,111,"NonInfo","1"
2045,11,0,1,118,"NonInfo","1"
2045,12,0,2,0,"NonInfo","1"
2045,13,1,1,0,"NonInfo","1"
2045,14,0,2,0,"NonInfo","1"
2045,15,1,1,0,"NonInfo","1"
