"PID","infoCond","optimCond","block","banditTrial","estOption","optionType","optOptimality","value","condition","minObs","maxObs"
10809,"info","sub",4,57,"imgNWTK/FindOutNow.jpg","target","sub",87,"info, sub",70,130
10809,"info","sub",4,58,"imgNWTK/FindOutNow.jpg","target","sub",72,"info, sub",70,130
10809,"info","sub",4,58,"imgNWTK/KeepItSecret.jpg","non-target","optim",112,"info, sub",70,130
10809,"info","sub",4,59,"imgNWTK/FindOutNow.jpg","target","sub",87,"info, sub",70,130
10809,"info","sub",4,59,"imgNWTK/KeepItSecret.jpg","non-target","optim",117,"info, sub",70,130
10809,"info","sub",4,60,"imgNWTK/KeepItSecret.jpg","non-target","optim",112,"info, sub",70,130
10809,"info","sub",4,60,"imgNWTK/FindOutNow.jpg","target","sub",84,"info, sub",70,130
10870,"info","optim",4,46,"imgNWTK/KeepItSecret.jpg","non-target","sub",123,"info, optim",70,130
10870,"info","optim",4,46,"imgNWTK/FindOutNow.jpg","target","optim",89,"info, optim",70,130
10870,"info","optim",4,47,"imgNWTK/KeepItSecret.jpg","non-target","sub",89,"info, optim",70,130
10870,"info","optim",4,47,"imgNWTK/FindOutNow.jpg","target","optim",123,"info, optim",70,130
10870,"info","optim",4,48,"imgNWTK/FindOutNow.jpg","target","optim",214,"info, optim",70,130
10870,"info","optim",4,48,"imgNWTK/KeepItSecret.jpg","non-target","sub",89,"info, optim",70,130
10870,"info","optim",4,49,"imgNWTK/KeepItSecret.jpg","non-target","sub",123,"info, optim",70,130
10870,"info","optim",4,49,"imgNWTK/FindOutNow.jpg","target","optim",123,"info, optim",70,130
10870,"info","optim",4,50,"imgNWTK/KeepItSecret.jpg","non-target","sub",123,"info, optim",70,130
10870,"info","optim",4,50,"imgNWTK/FindOutNow.jpg","target","optim",123,"info, optim",70,130
10870,"info","optim",4,51,"imgNWTK/KeepItSecret.jpg","non-target","sub",89,"info, optim",70,130
10870,"info","optim",4,51,"imgNWTK/FindOutNow.jpg","target","optim",89,"info, optim",70,130
10870,"info","optim",4,52,"imgNWTK/KeepItSecret.jpg","non-target","sub",123,"info, optim",70,130
10870,"info","optim",4,52,"imgNWTK/FindOutNow.jpg","target","optim",123,"info, optim",70,130
10870,"info","optim",4,53,"imgNWTK/FindOutNow.jpg","target","optim",123,"info, optim",70,130
10870,"info","optim",4,53,"imgNWTK/KeepItSecret.jpg","non-target","sub",123,"info, optim",70,130
