"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","gender","age","language","PID","subStim","optStim","stim1","stim2","infoCond","optimCond","bonus","stimulus","button_pressed","banditTrial","choice","cue","feedback","estimateData","leftOption","rightOption","choiceName","leftInput","rightInput","key_press","postQ","singleEst"
"8445","","bandit-task-exp6","60","2727834","0.0-11.0-0.3","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","49","2","2","113","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","70","123","","",""
"8537","","bandit-task-exp6","61","2760314","0.0-11.0-0.4","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","50","2","1","0","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","123","80","","",""
"6093","","bandit-task-exp6","62","2793784","0.0-11.0-0.5","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","51","2","1","0","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","80","123","","",""
"5717","","bandit-task-exp6","63","2823221","0.0-11.0-0.6","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","52","2","2","116","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","123","70","","",""
"7306","","bandit-task-exp6","64","2862420","0.0-11.0-0.7","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","53","1","1","81","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","123","86","","",""
"11529","","bandit-task-exp6","65","2897263","0.0-11.0-0.8","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","54","2","1","0","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","80","100","","",""
"9265","","bandit-task-exp6","66","2936734","0.0-11.0-0.9","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","55","2","1","0","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","100","100","","",""
"6238","","bandit-task-exp6","67","2969278","0.0-11.0-0.10","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","56","2","1","0","null","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","NWTKimg/FindOutNow.jpg","100","123","","",""
"6128","","bandit-task-exp6","68","3008000","0.0-11.0-0.11","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","57","2","2","125","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","123","100","","",""
"34771","","bandit-task-exp6","69","3065848","0.0-11.0-0.12","female","24","USA","42811","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","info","optim","3.06","","","58","2","1","0","null","NWTKimg/FindOutNow.jpg","NWTKimg/KeepItSecret.jpg","NWTKimg/FindOutNow.jpg","111","80","","",""
